По дням,Количество заказ-нарядов,Работ,Всего по заказ-наряду
2019-09-18 00:00:00,,,
2019-09-19 00:00:00,,,
2019-09-20 00:00:00,,,
2019-09-21 00:00:00,,,
2019-09-22 00:00:00,,,
2019-09-23 00:00:00,,,
2019-09-24 00:00:00,,,
2019-09-25 00:00:00,,,
2019-09-26 00:00:00,,,
2019-09-27 00:00:00,,,
2019-09-28 00:00:00,,,
2019-09-29 00:00:00,,,
2019-09-30 00:00:00,,,
2019-10-01 00:00:00,,,
2019-10-02 00:00:00,,,
2019-10-03 00:00:00,,,
2019-10-04 00:00:00,,,
2019-10-05 00:00:00,,,
2019-10-06 00:00:00,,,
2019-10-07 00:00:00,,,
2019-10-08 00:00:00,,,
2019-10-09 00:00:00,,,
2019-10-10 00:00:00,,,
2019-10-11 00:00:00,,,
2019-10-12 00:00:00,,,
2019-10-13 00:00:00,,,
2019-10-14 00:00:00,,,
2019-10-15 00:00:00,,,
2019-10-16 00:00:00,,,
2019-10-17 00:00:00,,,
2019-10-18 00:00:00,,,
2019-10-19 00:00:00,,,
2019-10-20 00:00:00,,,
2019-10-21 00:00:00,,,
2019-10-22 00:00:00,,,
2019-10-23 00:00:00,,,
2019-10-24 00:00:00,,,
2019-10-25 00:00:00,,,
2019-10-26 00:00:00,,,
2019-10-27 00:00:00,,,
2019-10-28 00:00:00,,,
2019-10-29 00:00:00,,,
2019-10-30 00:00:00,,,
2019-10-31 00:00:00,,,
2019-11-01 00:00:00,,,
2019-11-02 00:00:00,,,
2019-11-03 00:00:00,,,
2019-11-04 00:00:00,,,
2019-11-05 00:00:00,,,
2019-11-06 00:00:00,,,
2019-11-07 00:00:00,,,
2019-11-08 00:00:00,,,
2019-11-09 00:00:00,,,
2019-11-10 00:00:00,,,
2019-11-11 00:00:00,,,
2019-11-12 00:00:00,,,
2019-11-13 00:00:00,,,
2019-11-14 00:00:00,,,
2019-11-15 00:00:00,,,
2019-11-16 00:00:00,,,
2019-11-17 00:00:00,,,
2019-11-18 00:00:00,,,
2019-11-19 00:00:00,,,
2019-11-20 00:00:00,,,
2019-11-21 00:00:00,,,
2019-11-22 00:00:00,,,
2019-11-23 00:00:00,,,
2019-11-24 00:00:00,,,
2019-11-25 00:00:00,,,
2019-11-26 00:00:00,,,
2019-11-27 00:00:00,,,
2019-11-28 00:00:00,,,
2019-11-29 00:00:00,,,
2019-11-30 00:00:00,,,
2019-12-01 00:00:00,,,
2019-12-02 00:00:00,,,
2019-12-03 00:00:00,,,
2019-12-04 00:00:00,,,
2019-12-05 00:00:00,,,
2019-12-06 00:00:00,,,
2019-12-07 00:00:00,,,
2019-12-08 00:00:00,,,
2019-12-09 00:00:00,,,
2019-12-10 00:00:00,,,
2019-12-11 00:00:00,,,
2019-12-12 00:00:00,,,
2019-12-13 00:00:00,,,
2019-12-14 00:00:00,,,
2019-12-15 00:00:00,,,
2019-12-16 00:00:00,,,
2019-12-17 00:00:00,,,
2019-12-18 00:00:00,,,
2019-12-19 00:00:00,,,
2019-12-20 00:00:00,,,
2019-12-21 00:00:00,,,
2019-12-22 00:00:00,,,
2019-12-23 00:00:00,,,
2019-12-24 00:00:00,,,
2019-12-25 00:00:00,,,
2019-12-26 00:00:00,,,
2019-12-27 00:00:00,,,
2019-12-28 00:00:00,,,
2019-12-29 00:00:00,,,
2019-12-30 00:00:00,,,
2019-12-31 00:00:00,,,
2020-01-01 00:00:00,,,
2020-01-02 00:00:00,7.0,3800.0,3800.0
2020-01-03 00:00:00,13.0,9500.0,9500.0
2020-01-04 00:00:00,10.0,9550.0,9550.0
2020-01-05 00:00:00,10.0,9300.0,9300.0
2020-01-06 00:00:00,13.0,8000.0,8000.0
2020-01-07 00:00:00,,,
2020-01-08 00:00:00,18.0,17500.0,17500.0
2020-01-09 00:00:00,18.0,16950.0,16950.0
2020-01-10 00:00:00,8.0,6450.0,6450.0
2020-01-11 00:00:00,6.0,5650.0,5650.0
2020-01-12 00:00:00,8.0,4550.0,4550.0
2020-01-13 00:00:00,13.0,11400.0,11400.0
2020-01-14 00:00:00,17.0,12400.0,12400.0
2020-01-15 00:00:00,22.0,13300.0,13300.0
2020-01-16 00:00:00,15.0,9900.0,9900.0
2020-01-17 00:00:00,12.0,10900.0,10900.0
2020-01-18 00:00:00,12.0,10850.0,10850.0
2020-01-19 00:00:00,8.0,5800.0,5800.0
2020-01-20 00:00:00,13.0,8500.0,8500.0
2020-01-21 00:00:00,13.0,11100.0,11100.0
2020-01-22 00:00:00,10.0,8700.0,8700.0
2020-01-23 00:00:00,15.0,11000.0,11000.0
2020-01-24 00:00:00,26.0,20750.0,20750.0
2020-01-25 00:00:00,17.0,11450.0,11450.0
2020-01-26 00:00:00,11.0,7750.0,7750.0
2020-01-27 00:00:00,12.0,13500.0,13500.0
2020-01-28 00:00:00,12.0,10200.0,10200.0
2020-01-29 00:00:00,9.0,7100.0,7100.0
2020-01-30 00:00:00,9.0,9650.0,9650.0
2020-01-31 00:00:00,8.0,8150.0,8150.0
2020-02-01 00:00:00,17.0,9400.0,9400.0
2020-02-02 00:00:00,13.0,13050.0,13050.0
2020-02-03 00:00:00,10.0,7050.0,7050.0
2020-02-04 00:00:00,5.0,5350.0,5350.0
2020-02-05 00:00:00,26.0,16600.0,16600.0
2020-02-06 00:00:00,28.0,16500.0,16500.0
2020-02-07 00:00:00,21.0,18160.0,18160.0
2020-02-08 00:00:00,24.0,15320.0,15320.0
2020-02-09 00:00:00,9.0,5950.0,5950.0
2020-02-10 00:00:00,19.0,17900.0,17900.0
2020-02-11 00:00:00,15.0,15900.0,15900.0
2020-02-12 00:00:00,33.0,27900.0,27900.0
2020-02-13 00:00:00,16.0,12050.0,12050.0
2020-02-14 00:00:00,17.0,15800.0,15800.0
2020-02-15 00:00:00,23.0,16550.0,16550.0
2020-02-16 00:00:00,13.0,9550.0,9550.0
2020-02-17 00:00:00,12.0,12400.0,12400.0
2020-02-18 00:00:00,25.0,20550.0,20550.0
2020-02-19 00:00:00,9.0,8550.0,8550.0
2020-02-20 00:00:00,24.0,16170.0,16170.0
2020-02-21 00:00:00,15.0,13300.0,13300.0
2020-02-22 00:00:00,24.0,17550.0,17550.0
2020-02-23 00:00:00,9.0,8900.0,8900.0
2020-02-24 00:00:00,15.0,10550.0,10550.0
2020-02-25 00:00:00,21.0,20650.0,20650.0
2020-02-26 00:00:00,22.0,16550.0,16550.0
2020-02-27 00:00:00,12.0,9600.0,9600.0
2020-02-28 00:00:00,23.0,16350.0,16350.0
2020-02-29 00:00:00,12.0,10400.0,10400.0
2020-03-01 00:00:00,8.0,7950.0,7950.0
2020-03-02 00:00:00,32.0,23550.0,23550.0
2020-03-03 00:00:00,21.0,18150.0,18150.0
2020-03-04 00:00:00,30.0,24750.0,24750.0
2020-03-05 00:00:00,19.0,16400.0,16400.0
2020-03-06 00:00:00,31.0,21070.0,21070.0
2020-03-07 00:00:00,26.0,22500.0,22500.0
2020-03-08 00:00:00,10.0,8150.0,8150.0
2020-03-09 00:00:00,21.0,14750.0,14750.0
2020-03-10 00:00:00,13.0,13250.0,13250.0
2020-03-11 00:00:00,12.0,11500.0,11500.0
2020-03-12 00:00:00,29.0,20870.0,20870.0
2020-03-13 00:00:00,12.0,10400.0,10400.0
2020-03-14 00:00:00,22.0,18290.0,18290.0
2020-03-15 00:00:00,9.0,9750.0,9750.0
2020-03-16 00:00:00,21.0,21200.0,21200.0
2020-03-17 00:00:00,35.0,26950.0,26950.0
2020-03-18 00:00:00,28.0,24250.0,24250.0
2020-03-19 00:00:00,23.0,15700.0,15700.0
2020-03-20 00:00:00,14.0,14000.0,14000.0
2020-03-21 00:00:00,32.0,24200.0,24200.0
2020-03-22 00:00:00,19.0,12090.0,12090.0
2020-03-23 00:00:00,46.0,31000.0,31000.0
2020-03-24 00:00:00,11.0,10750.0,10750.0
2020-03-25 00:00:00,12.0,11600.0,11600.0
2020-03-26 00:00:00,27.0,16750.0,16750.0
2020-03-27 00:00:00,17.0,16900.0,16900.0
2020-03-28 00:00:00,30.0,21720.0,21720.0
2020-03-29 00:00:00,18.0,14550.0,14550.0
2020-03-30 00:00:00,8.0,8700.0,8700.0
2020-03-31 00:00:00,11.0,6050.0,6050.0
2020-04-01 00:00:00,,,
2020-04-02 00:00:00,9.0,5050.0,5050.0
2020-04-03 00:00:00,,,
2020-04-04 00:00:00,13.0,6450.0,6450.0
2020-04-05 00:00:00,,,
2020-04-06 00:00:00,31.0,28070.0,28070.0
2020-04-07 00:00:00,31.0,24870.0,24870.0
2020-04-08 00:00:00,20.0,14740.0,14740.0
2020-04-09 00:00:00,31.0,28200.0,28200.0
2020-04-10 00:00:00,17.0,17300.0,17300.0
2020-04-11 00:00:00,26.0,26800.0,26800.0
2020-04-12 00:00:00,9.0,8300.0,8300.0
2020-04-13 00:00:00,14.0,14800.0,14800.0
2020-04-14 00:00:00,25.0,20020.0,20020.0
2020-04-15 00:00:00,12.0,10150.0,10150.0
2020-04-16 00:00:00,12.0,12700.0,12700.0
2020-04-17 00:00:00,8.0,7000.0,7000.0
2020-04-18 00:00:00,18.0,13550.0,13550.0
2020-04-19 00:00:00,11.0,10050.0,10050.0
2020-04-20 00:00:00,7.0,6650.0,6650.0
2020-04-21 00:00:00,14.0,11320.0,11320.0
2020-04-22 00:00:00,12.0,11650.0,11650.0
2020-04-23 00:00:00,24.0,19550.0,19550.0
2020-04-24 00:00:00,10.0,7460.0,7460.0
2020-04-25 00:00:00,9.0,4250.0,4250.0
2020-04-26 00:00:00,9.0,9000.0,9000.0
2020-04-27 00:00:00,19.0,15650.0,15650.0
2020-04-28 00:00:00,20.0,19200.0,19200.0
2020-04-29 00:00:00,6.0,5450.0,5450.0
2020-04-30 00:00:00,11.0,8650.0,8650.0
2020-05-01 00:00:00,11.0,11000.0,11000.0
2020-05-02 00:00:00,24.0,17350.0,17350.0
2020-05-03 00:00:00,13.0,12200.0,12200.0
2020-05-04 00:00:00,19.0,16650.0,16650.0
2020-05-05 00:00:00,13.0,13900.0,13900.0
2020-05-06 00:00:00,14.0,9500.0,9500.0
2020-05-07 00:00:00,23.0,17000.0,17000.0
2020-05-08 00:00:00,16.0,13000.0,13000.0
2020-05-09 00:00:00,6.0,2950.0,2950.0
2020-05-10 00:00:00,7.0,4450.0,4450.0
2020-05-11 00:00:00,8.0,5950.0,5950.0
2020-05-12 00:00:00,18.0,15350.0,15350.0
2020-05-13 00:00:00,9.0,10950.0,10950.0
2020-05-14 00:00:00,8.0,11000.0,11000.0
2020-05-15 00:00:00,13.0,10250.0,10250.0
2020-05-16 00:00:00,21.0,16050.0,16050.0
2020-05-17 00:00:00,5.0,3900.0,3900.0
2020-05-18 00:00:00,8.0,5650.0,5650.0
2020-05-19 00:00:00,7.0,4850.0,4850.0
2020-05-20 00:00:00,12.0,10000.0,10000.0
2020-05-21 00:00:00,24.0,18750.0,18750.0
2020-05-22 00:00:00,17.0,13050.0,13050.0
2020-05-23 00:00:00,10.0,7700.0,7700.0
2020-05-24 00:00:00,11.0,7700.0,7700.0
2020-05-25 00:00:00,11.0,11750.0,11750.0
2020-05-26 00:00:00,23.0,20100.0,20100.0
2020-05-27 00:00:00,19.0,14020.0,14020.0
2020-05-28 00:00:00,18.0,16500.0,16500.0
2020-05-29 00:00:00,16.0,14010.0,14010.0
2020-05-30 00:00:00,18.0,10550.0,10550.0
2020-05-31 00:00:00,4.0,5600.0,5600.0
2020-06-01 00:00:00,11.0,8820.0,8820.0
2020-06-02 00:00:00,14.0,12350.0,12350.0
2020-06-03 00:00:00,19.0,18750.0,18750.0
2020-06-04 00:00:00,23.0,20950.0,20950.0
2020-06-05 00:00:00,13.0,11950.0,11950.0
2020-06-06 00:00:00,13.0,9600.0,9600.0
2020-06-07 00:00:00,5.0,5250.0,5250.0
2020-06-08 00:00:00,13.0,9700.0,9700.0
2020-06-09 00:00:00,30.0,22400.0,22400.0
2020-06-10 00:00:00,14.0,10950.0,10950.0
2020-06-11 00:00:00,11.0,9500.0,9500.0
2020-06-12 00:00:00,5.0,5500.0,5500.0
2020-06-13 00:00:00,18.0,14450.0,14450.0
2020-06-14 00:00:00,6.0,4650.0,4650.0
2020-06-15 00:00:00,15.0,14200.0,14200.0
2020-06-16 00:00:00,10.0,9800.0,9800.0
2020-06-17 00:00:00,16.0,17400.0,17400.0
2020-06-18 00:00:00,23.0,18050.0,18050.0
2020-06-19 00:00:00,13.0,10900.0,10900.0
2020-06-20 00:00:00,7.0,6270.0,6270.0
2020-06-21 00:00:00,6.0,5000.0,5000.0
2020-06-22 00:00:00,12.0,11050.0,11050.0
2020-06-23 00:00:00,18.0,13500.0,13500.0
2020-06-24 00:00:00,10.0,10150.0,10150.0
2020-06-25 00:00:00,10.0,8170.0,8170.0
2020-06-26 00:00:00,3.0,2600.0,2600.0
2020-06-27 00:00:00,10.0,10200.0,10200.0
2020-06-28 00:00:00,13.0,9750.0,9750.0
2020-06-29 00:00:00,16.0,17050.0,17050.0
2020-06-30 00:00:00,8.0,6050.0,6050.0
2020-07-01 00:00:00,6.0,5300.0,5300.0
2020-07-02 00:00:00,19.0,14400.0,14400.0
2020-07-03 00:00:00,13.0,9220.0,9220.0
2020-07-04 00:00:00,6.0,6700.0,6700.0
2020-07-05 00:00:00,9.0,9850.0,9850.0
2020-07-06 00:00:00,10.0,11200.0,11200.0
2020-07-07 00:00:00,12.0,10550.0,10550.0
2020-07-08 00:00:00,11.0,12370.0,12370.0
2020-07-09 00:00:00,20.0,23900.0,23900.0
2020-07-10 00:00:00,15.0,16900.0,16900.0
2020-07-11 00:00:00,23.0,16370.0,16370.0
2020-07-12 00:00:00,9.0,7050.0,7050.0
2020-07-13 00:00:00,12.0,9850.0,9850.0
2020-07-14 00:00:00,19.0,16700.0,16700.0
2020-07-15 00:00:00,18.0,15220.0,15220.0
2020-07-16 00:00:00,14.0,11050.0,11050.0
2020-07-17 00:00:00,1.0,200.0,200.0
2020-07-18 00:00:00,15.0,13010.0,13010.0
2020-07-19 00:00:00,,,
2020-07-20 00:00:00,11.0,7800.0,7800.0
2020-07-21 00:00:00,13.0,11000.0,11000.0
2020-07-22 00:00:00,1.0,300.0,300.0
2020-07-23 00:00:00,16.0,15700.0,15700.0
2020-07-24 00:00:00,19.0,15800.0,15800.0
2020-07-25 00:00:00,13.0,8650.0,8650.0
2020-07-26 00:00:00,,,
2020-07-27 00:00:00,26.0,24270.0,24270.0
2020-07-28 00:00:00,10.0,10450.0,10450.0
2020-07-29 00:00:00,15.0,16500.0,16500.0
2020-07-30 00:00:00,12.0,14800.0,14800.0
2020-07-31 00:00:00,28.0,20250.0,20250.0
2020-08-01 00:00:00,11.0,8850.0,8850.0
2020-08-02 00:00:00,8.0,4700.0,4700.0
2020-08-03 00:00:00,12.0,12250.0,12250.0
2020-08-04 00:00:00,19.0,18750.0,18750.0
2020-08-05 00:00:00,6.0,5750.0,5750.0
2020-08-06 00:00:00,16.0,16450.0,16450.0
2020-08-07 00:00:00,11.0,13150.0,13150.0
2020-08-08 00:00:00,12.0,13450.0,13450.0
2020-08-09 00:00:00,,,
2020-08-10 00:00:00,21.0,16850.0,16850.0
2020-08-11 00:00:00,1.0,450.0,450.0
2020-08-12 00:00:00,20.0,16350.0,16350.0
2020-08-13 00:00:00,18.0,12850.0,12850.0
2020-08-14 00:00:00,8.0,8100.0,8100.0
2020-08-15 00:00:00,2.0,1800.0,1800.0
2020-08-16 00:00:00,,,
2020-08-17 00:00:00,15.0,17150.0,17150.0
2020-08-18 00:00:00,8.0,6920.0,6920.0
2020-08-19 00:00:00,4.0,1750.0,1750.0
2020-08-20 00:00:00,8.0,8750.0,8750.0
2020-08-21 00:00:00,8.0,6050.0,6050.0
2020-08-22 00:00:00,9.0,6800.0,6800.0
2020-08-23 00:00:00,,,
2020-08-24 00:00:00,22.0,24800.0,24800.0
2020-08-25 00:00:00,11.0,9750.0,9750.0
2020-08-26 00:00:00,13.0,12650.0,12650.0
2020-08-27 00:00:00,10.0,10500.0,10500.0
2020-08-28 00:00:00,18.0,13650.0,13650.0
2020-08-29 00:00:00,11.0,10550.0,10550.0
2020-08-30 00:00:00,,,
2020-08-31 00:00:00,19.0,17950.0,17950.0
2020-09-01 00:00:00,17.0,12750.0,12750.0
2020-09-02 00:00:00,19.0,16350.0,16350.0
2020-09-03 00:00:00,8.0,5800.0,5800.0
2020-09-04 00:00:00,16.0,9900.0,9900.0
2020-09-05 00:00:00,1.0,400.0,400.0
2020-09-06 00:00:00,,,
2020-09-07 00:00:00,18.0,19150.0,19150.0
2020-09-08 00:00:00,27.0,21500.0,21500.0
2020-09-09 00:00:00,15.0,15450.0,15450.0
2020-09-10 00:00:00,10.0,9650.0,9650.0
2020-09-11 00:00:00,3.0,2100.0,2100.0
2020-09-12 00:00:00,8.0,9350.0,9350.0
2020-09-13 00:00:00,8.0,6350.0,6350.0
2020-09-14 00:00:00,19.0,20050.0,20050.0
2020-09-15 00:00:00,10.0,9325.0,9325.0
2020-09-16 00:00:00,25.0,20150.0,20150.0
2020-09-17 00:00:00,14.0,13150.0,13150.0
2020-09-18 00:00:00,9.0,7650.0,7650.0
2020-09-19 00:00:00,,,
2020-09-20 00:00:00,7.0,4350.0,4350.0
2020-09-21 00:00:00,29.0,29320.0,29320.0
2020-09-22 00:00:00,13.0,14000.0,14000.0
2020-09-23 00:00:00,21.0,18760.0,18760.0
2020-09-24 00:00:00,15.0,22700.0,22700.0
2020-09-25 00:00:00,23.0,24200.0,24200.0
2020-09-26 00:00:00,8.0,5450.0,5450.0
2020-09-27 00:00:00,,,
2020-09-28 00:00:00,30.0,31750.0,31750.0
2020-09-29 00:00:00,16.0,16000.0,16000.0
2020-09-30 00:00:00,12.0,11950.0,11950.0
2020-10-01 00:00:00,23.0,14600.0,14600.0
2020-10-02 00:00:00,13.0,10700.0,10700.0
2020-10-03 00:00:00,,,
2020-10-04 00:00:00,7.0,4350.0,4350.0
2020-10-05 00:00:00,33.0,33620.0,33620.0
2020-10-06 00:00:00,7.0,4000.0,4000.0
2020-10-07 00:00:00,20.0,17300.0,17300.0
2020-10-08 00:00:00,11.0,14100.0,14100.0
2020-10-09 00:00:00,12.0,10950.0,10950.0
2020-10-10 00:00:00,8.0,4950.0,4950.0
2020-10-11 00:00:00,,,
2020-10-12 00:00:00,35.0,36650.0,36650.0
2020-10-13 00:00:00,18.0,12570.0,12570.0
2020-10-14 00:00:00,,,
2020-10-15 00:00:00,19.0,19700.0,19700.0
2020-10-16 00:00:00,15.0,13320.0,13320.0
2020-10-17 00:00:00,8.0,4750.0,4750.0
2020-10-18 00:00:00,,,
2020-10-19 00:00:00,20.0,21000.0,21000.0
2020-10-20 00:00:00,5.0,2900.0,2900.0
2020-10-21 00:00:00,1.0,600.0,600.0
2020-10-22 00:00:00,9.0,6950.0,6950.0
2020-10-23 00:00:00,17.0,17120.0,17120.0
2020-10-24 00:00:00,2.0,1450.0,1450.0
2020-10-25 00:00:00,3.0,2100.0,2100.0
2020-10-26 00:00:00,33.0,36800.0,36800.0
2020-10-27 00:00:00,18.0,12750.0,12750.0
2020-10-28 00:00:00,18.0,19100.0,19100.0
2020-10-29 00:00:00,14.0,14800.0,14800.0
2020-10-30 00:00:00,16.0,19350.0,19350.0
2020-10-31 00:00:00,,,
2020-11-01 00:00:00,,,
2020-11-02 00:00:00,20.0,19850.0,19850.0
2020-11-03 00:00:00,31.0,30558.33,30558.33
2020-11-04 00:00:00,13.0,15300.0,15300.0
2020-11-05 00:00:00,12.0,11350.0,11350.0
2020-11-06 00:00:00,16.0,15000.0,15000.0
2020-11-07 00:00:00,,,
2020-11-08 00:00:00,,,
2020-11-09 00:00:00,32.0,28550.0,28550.0
2020-11-10 00:00:00,12.0,12450.0,12450.0
2020-11-11 00:00:00,14.0,16050.0,16050.0
2020-11-12 00:00:00,5.0,4200.0,4200.0
2020-11-13 00:00:00,32.0,32150.0,32150.0
2020-11-14 00:00:00,26.0,21650.0,21650.0
2020-11-15 00:00:00,,,
2020-11-16 00:00:00,19.0,15050.0,15050.0
2020-11-17 00:00:00,27.0,33650.0,33650.0
2020-11-18 00:00:00,19.0,17450.0,17450.0
2020-11-19 00:00:00,20.0,19200.0,19200.0
2020-11-20 00:00:00,17.0,19750.0,19750.0
2020-11-21 00:00:00,16.0,12250.0,12250.0
2020-11-22 00:00:00,,,
2020-11-23 00:00:00,34.0,25300.0,25300.0
2020-11-24 00:00:00,13.0,11100.0,11100.0
2020-11-25 00:00:00,11.0,13100.0,13100.0
2020-11-26 00:00:00,9.0,11450.0,11450.0
2020-11-27 00:00:00,20.0,18150.0,18150.0
2020-11-28 00:00:00,11.0,16600.0,16600.0
2020-11-29 00:00:00,,,
2020-11-30 00:00:00,32.0,37550.0,37550.0
2020-12-01 00:00:00,17.0,17150.0,17150.0
2020-12-02 00:00:00,19.0,17850.0,17850.0
2020-12-03 00:00:00,21.0,19850.0,19850.0
2020-12-04 00:00:00,25.0,24550.0,24550.0
2020-12-05 00:00:00,14.0,11900.0,11900.0
2020-12-06 00:00:00,,,
2020-12-07 00:00:00,28.0,27400.0,27400.0
2020-12-08 00:00:00,16.0,13300.0,13300.0
2020-12-09 00:00:00,15.0,16050.0,16050.0
2020-12-10 00:00:00,20.0,20300.0,20300.0
2020-12-11 00:00:00,11.0,8250.0,8250.0
2020-12-12 00:00:00,8.0,4200.0,4200.0
2020-12-13 00:00:00,,,
2020-12-14 00:00:00,23.0,21950.0,21950.0
2020-12-15 00:00:00,20.0,20070.0,20070.0
2020-12-16 00:00:00,13.0,13700.0,13700.0
2020-12-17 00:00:00,16.0,17900.0,17900.0
2020-12-18 00:00:00,20.0,17450.0,17450.0
2020-12-19 00:00:00,12.0,13250.0,13250.0
2020-12-20 00:00:00,,,
2020-12-21 00:00:00,26.0,27950.0,27950.0
2020-12-22 00:00:00,15.0,14850.0,14850.0
2020-12-23 00:00:00,14.0,15950.0,15950.0
2020-12-24 00:00:00,18.0,20950.0,20950.0
2020-12-25 00:00:00,25.0,26750.0,26750.0
2020-12-26 00:00:00,10.0,13400.0,13400.0
2020-12-27 00:00:00,,,
2020-12-28 00:00:00,45.0,49300.0,49300.0
2020-12-29 00:00:00,26.0,31350.0,31350.0
2020-12-30 00:00:00,22.0,27200.0,27200.0
2020-12-31 00:00:00,17.0,16000.0,16000.0
2021-01-01 00:00:00,,,
2021-01-02 00:00:00,,,
2021-01-03 00:00:00,11.0,11900.0,11900.0
2021-01-04 00:00:00,12.0,10900.0,10900.0
2021-01-05 00:00:00,18.0,15650.0,15650.0
2021-01-06 00:00:00,15.0,11950.0,11950.0
2021-01-07 00:00:00,,,
2021-01-08 00:00:00,14.0,13650.0,13650.0
2021-01-09 00:00:00,,,
2021-01-10 00:00:00,,,
2021-01-11 00:00:00,24.0,25900.0,25900.0
2021-01-12 00:00:00,12.0,12950.0,12950.0
2021-01-13 00:00:00,12.0,9550.0,9550.0
2021-01-14 00:00:00,14.0,13250.0,13250.0
2021-01-15 00:00:00,,,
2021-01-16 00:00:00,25.0,22450.0,22450.0
2021-01-17 00:00:00,,,
2021-01-18 00:00:00,23.0,20650.0,20650.0
2021-01-19 00:00:00,10.0,8300.0,8300.0
2021-01-20 00:00:00,10.0,9750.0,9750.0
2021-01-21 00:00:00,10.0,7900.0,7900.0
2021-01-22 00:00:00,16.0,15200.0,15200.0
2021-01-23 00:00:00,,,
2021-01-24 00:00:00,,,
2021-01-25 00:00:00,26.0,28500.0,28500.0
2021-01-26 00:00:00,16.0,13450.0,13450.0
2021-01-27 00:00:00,18.0,19400.0,19400.0
2021-01-28 00:00:00,16.0,14000.0,14000.0
2021-01-29 00:00:00,22.0,23000.0,23000.0
2021-01-30 00:00:00,8.0,10470.0,10470.0
2021-01-31 00:00:00,,,
2021-02-01 00:00:00,31.0,34450.0,34450.0
2021-02-02 00:00:00,20.0,19600.0,19600.0
2021-02-03 00:00:00,19.0,22500.0,22500.0
2021-02-04 00:00:00,17.0,15800.0,15800.0
2021-02-05 00:00:00,18.0,15760.0,15760.0
